nome,marca,descrizione,linkImmagine,prezzo,dimensioni,taglia,giorniSpedizione
Estintore a Polvere ABC 6kg,Gloria,Estintore portatile a polvere per incendi classe A B C,https://www.proteggifire.it/files/acatalog1/product/estintore_polvere_dok_6kg,54.99,55x18 cm,6kg,3
Estintore CO2 5kg,Bavaria,Estintore ad anidride carbonica ideale per quadri elettrici,https://centrosicurezza.it/wp-content/uploads/2021/09/ESTINTORE-CO2-KG.5.jpg,119.99,70x14 cm,5kg,4
Idrante a Muro UNI45,Riello Fire,Idrante antincendio completo di lancia e manichetta,https://www.canevari.it/catalog/cassetta-per-parete-esterno-uni-45_g.jpg?width=248&height=292&bgcolor=ffffff,189.90,65x55 cm,UNI45,5
Manichetta Antincendio UNI45,Leader,Tubo antincendio professionale per idranti,https://www.mmpantincendio.it/wp-content/uploads/2020/04/MANICHETTA-UNI-45-5-.png,79.50,20 metri,UNI45,2
Rilevatore di Fumo Smart,X-Sense,Sensore di fumo con allarme integrato,https://m.media-amazon.com/images/I/313Hta4dnaL.jpg,29.99,12x12 cm,Standard,2
Coperta Antifiamma 120x180,Smartwares,Coperta ignifuga per spegnere piccoli incendi,https://www.carvelsrl.com/wp-content/uploads/2022/01/COP208-FIRE-1.2x1.8M-600x600.png,18.90,120x180 cm,Standard,1
Pulsante Manuale Antincendio,Notifier,Pulsante rosso di allarme incendio manuale,https://www.elettronew.com/76586-large_default/pulsante-manuale-siemens-convenzionale-con-vetrino-antincendio-s54371f6a3.jpg,34.90,9x9 cm,Standard,3
Lancia Antincendio UNI45,Pok,Lancia regolabile per idranti antincendio,https://www.emme-italia.com/sites/default/files/styles/prodott_emme/public/img_p0603.jpg?itok=cFzPBs-4,67.00,25x8 cm,UNI45,4
Estintore Schiuma 9L,Ceasefire,Estintore a schiuma per incendi classe A e B,https://www.professionfire.it/wp-content/uploads/2023/02/Estintore-Schiuma-43A-233B-40F-Lt.-9.jpg,94.99,60x22 cm,9L,3
Armadio Antincendio per Estintore,Metalnova,Armadio metallico rosso per estintore,https://www.utensileriaonline.it/bmz_cache/f/fami-fami-armadio-di-sicurezza-dpi-e-attrezzature-antincendio-l1023-x-p555-x-h2000-mm-perfom14033jpg.image.222x250.jpg,129.00,70x30 cm,Universale,6
